video,labelName,label,sampleIndex,earMean,earMin,earStd,marMean,marMax,marStd,perclos,eyesClosedRatio,yawnCount
video-2-alert.mkv,alert,0,4,0.3798,0.0984,0.1083,0.094,0.331,0.0949,0.0667,0.0,0
video-2-alert.mkv,alert,0,5,0.4002,0.0984,0.1068,0.0957,0.331,0.0975,0.0667,0.0,0
video-2-alert.mkv,alert,0,6,0.4234,0.0984,0.1012,0.0992,0.331,0.1056,0.0667,0.0,0
video-2-alert.mkv,alert,0,7,0.4369,0.1185,0.0853,0.0975,0.331,0.1075,0.0667,0.0,0
video-2-alert.mkv,alert,0,8,0.416,0.1815,0.0871,0.0879,0.331,0.1118,0.0333,0.0,0
video-2-alert.mkv,alert,0,9,0.3892,0.1815,0.0903,0.0671,0.331,0.1039,0.0333,0.0,0
video-2-alert.mkv,alert,0,10,0.3577,0.1815,0.0851,0.0388,0.3078,0.0788,0.0333,0.0,0
video-2-alert.mkv,alert,0,11,0.3246,0.0946,0.0873,0.0202,0.3078,0.0573,0.0667,0.0,0
video-2-alert.mkv,alert,0,12,0.295,0.0946,0.0646,0.008,0.1175,0.0204,0.0667,0.0,0
video-2-alert.mkv,alert,0,13,0.2869,0.0946,0.0441,0.0038,0.007,0.0014,0.0333,0.0,0
video-2-alert.mkv,alert,0,14,0.2927,0.0946,0.0427,0.0036,0.007,0.0014,0.0333,0.0,0
video-2-alert.mkv,alert,0,15,0.2924,0.0946,0.0426,0.0036,0.007,0.0015,0.0333,0.0,0
video-2-alert.mkv,alert,0,16,0.2948,0.0946,0.0413,0.0033,0.007,0.0016,0.0333,0.0,0
video-2-alert.mkv,alert,0,17,0.3026,0.2623,0.0162,0.0028,0.007,0.0015,0.0,0.0,0
video-2-alert.mkv,alert,0,18,0.309,0.2923,0.0109,0.0024,0.007,0.0014,0.0,0.0,0
video-2-alert.mkv,alert,0,19,0.3096,0.2923,0.0113,0.0022,0.007,0.0014,0.0,0.0,0
video-2-alert.mkv,alert,0,20,0.3091,0.2923,0.0108,0.0022,0.007,0.0016,0.0,0.0,0
video-2-alert.mkv,alert,0,21,0.3105,0.2923,0.0107,0.0018,0.0055,0.001,0.0,0.0,0
video-2-alert.mkv,alert,0,22,0.3101,0.2923,0.0101,0.0021,0.0055,0.0012,0.0,0.0,0
video-2-alert.mkv,alert,0,23,0.3133,0.2973,0.0085,0.0021,0.0055,0.0012,0.0,0.0,0
video-2-alert.mkv,alert,0,24,0.3149,0.2973,0.0093,0.0045,0.0478,0.0087,0.0,0.0,0
video-2-alert.mkv,alert,0,25,0.3193,0.2982,0.013,0.0064,0.0478,0.0093,0.0,0.0,0
video-2-alert.mkv,alert,0,26,0.3241,0.2982,0.0144,0.0091,0.0478,0.0115,0.0,0.0,0
video-2-alert.mkv,alert,0,27,0.3275,0.2982,0.0142,0.0117,0.0478,0.012,0.0,0.0,0
video-2-alert.mkv,alert,0,28,0.3247,0.1484,0.0349,0.0151,0.0478,0.0123,0.0333,0.0,0
video-2-alert.mkv,alert,0,29,0.3217,0.1484,0.0392,0.0154,0.0478,0.012,0.0333,0.0,0
video-2-alert.mkv,alert,0,30,0.3213,0.1484,0.04,0.0133,0.0462,0.0108,0.0333,0.0,0
video-2-alert.mkv,alert,0,31,0.3187,0.1484,0.0391,0.0118,0.0462,0.0111,0.0333,0.0,0
video-2-alert.mkv,alert,0,32,0.3175,0.1484,0.0384,0.0096,0.035,0.0094,0.0333,0.0,0
video-2-alert.mkv,alert,0,33,0.3119,0.1484,0.0398,0.0073,0.0299,0.0078,0.0333,0.0,0
video-2-alert.mkv,alert,0,34,0.314,0.2298,0.0282,0.0043,0.0163,0.0026,0.0,0.0,0
video-2-alert.mkv,alert,0,35,0.3173,0.2524,0.027,0.0039,0.0163,0.0028,0.0,0.0,0
video-2-alert.mkv,alert,0,36,0.3155,0.2524,0.0263,0.0036,0.0163,0.0028,0.0,0.0,0
video-2-alert.mkv,alert,0,37,0.3144,0.2524,0.0261,0.0032,0.0163,0.0029,0.0,0.0,0
video-2-alert.mkv,alert,0,38,0.3109,0.2524,0.0252,0.0028,0.0163,0.0028,0.0,0.0,0
video-2-alert.mkv,alert,0,39,0.3161,0.2525,0.0232,0.0024,0.0163,0.0028,0.0,0.0,0
video-2-alert.mkv,alert,0,40,0.3202,0.2525,0.0197,0.0017,0.0037,0.0009,0.0,0.0,0
video-2-alert.mkv,alert,0,41,0.3222,0.2815,0.0142,0.0019,0.0039,0.001,0.0,0.0,0
video-2-alert.mkv,alert,0,42,0.3254,0.2967,0.0123,0.0017,0.0039,0.001,0.0,0.0,0
video-2-alert.mkv,alert,0,43,0.3243,0.2154,0.0238,0.0017,0.0039,0.0009,0.0,0.0,0
video-2-alert.mkv,alert,0,44,0.3293,0.2154,0.0233,0.0016,0.0039,0.0009,0.0,0.0,0
video-2-alert.mkv,alert,0,45,0.3328,0.2154,0.0243,0.0016,0.0039,0.0008,0.0,0.0,0
video-2-alert.mkv,alert,0,46,0.3328,0.2154,0.0243,0.0016,0.0039,0.0009,0.0,0.0,0
video-2-alert.mkv,alert,0,47,0.3295,0.1912,0.0355,0.0016,0.003,0.0007,0.0333,0.0,0
video-2-alert.mkv,alert,0,48,0.3256,0.1912,0.0364,0.0017,0.0045,0.0009,0.0333,0.0,0
video-2-alert.mkv,alert,0,49,0.3286,0.1912,0.0299,0.0019,0.0045,0.0009,0.0333,0.0,0
video-2-alert.mkv,alert,0,50,0.3266,0.1912,0.0295,0.0021,0.0045,0.001,0.0333,0.0,0
video-2-alert.mkv,alert,0,51,0.3242,0.1912,0.028,0.0022,0.0045,0.0011,0.0333,0.0,0
video-2-alert.mkv,alert,0,52,0.3232,0.1912,0.0301,0.0022,0.0045,0.0011,0.0333,0.0,0
video-2-alert.mkv,alert,0,53,0.3266,0.266,0.0166,0.0022,0.0045,0.0012,0.0,0.0,0
video-2-alert.mkv,alert,0,54,0.3296,0.266,0.0148,0.0022,0.0047,0.0011,0.0,0.0,0
video-2-alert.mkv,alert,0,55,0.3302,0.266,0.0149,0.0022,0.0047,0.0011,0.0,0.0,0
video-2-alert.mkv,alert,0,56,0.3314,0.266,0.0147,0.002,0.0047,0.0011,0.0,0.0,0
video-2-alert.mkv,alert,0,57,0.3296,0.266,0.0147,0.002,0.0047,0.0011,0.0,0.0,0
video-2-alert.mkv,alert,0,58,0.3329,0.3051,0.0097,0.0021,0.0047,0.0011,0.0,0.0,0
video-2-alert.mkv,alert,0,59,0.3332,0.2986,0.0116,0.0022,0.0047,0.0011,0.0,0.0,0
video-2-alert.mkv,alert,0,60,0.3298,0.2497,0.0188,0.0023,0.0042,0.001,0.0,0.0,0
video-2-alert.mkv,alert,0,61,0.3278,0.2497,0.0204,0.0025,0.0054,0.0012,0.0,0.0,0
video-2-alert.mkv,alert,0,62,0.3266,0.2497,0.0203,0.0026,0.0054,0.0012,0.0,0.0,0
video-2-alert.mkv,alert,0,63,0.329,0.2497,0.0214,0.0025,0.0054,0.0011,0.0,0.0,0
video-2-alert.mkv,alert,0,64,0.3258,0.2497,0.0225,0.0024,0.0054,0.0012,0.0,0.0,0
video-2-alert.mkv,alert,0,65,0.3229,0.2497,0.022,0.0025,0.0057,0.0014,0.0,0.0,0
video-2-alert.mkv,alert,0,66,0.3276,0.2784,0.0176,0.0024,0.0062,0.0016,0.0,0.0,0
video-2-alert.mkv,alert,0,67,0.3309,0.2784,0.0161,0.0023,0.0062,0.0016,0.0,0.0,0
video-2-alert.mkv,alert,0,68,0.3239,0.1013,0.0445,0.0021,0.0062,0.0016,0.0333,0.0,0
video-2-alert.mkv,alert,0,69,0.322,0.1013,0.0437,0.0023,0.0062,0.0016,0.0333,0.0,0
video-2-alert.mkv,alert,0,70,0.3178,0.1013,0.0551,0.0022,0.0062,0.0016,0.0667,0.0,0
video-2-alert.mkv,alert,0,71,0.3148,0.1013,0.063,0.0021,0.0062,0.0014,0.1,0.0,0
video-2-alert.mkv,alert,0,72,0.3138,0.1013,0.0629,0.0022,0.0059,0.0011,0.1,0.0,0
video-2-alert.mkv,alert,0,73,0.3114,0.1013,0.0623,0.0021,0.0041,0.0008,0.1,0.0,0
